fips,year,num_M,num_F
25017,1998,0,1
48085,2020,1,0
29189,2020,1,0
29189,2020,1,0
0644000,2001,1,0
17031,2006,1,0
37183,2012,1,0
13121,2012,1,0
39035,1990,1,0
13121,2008,1,0
27053,2002,0,1
06073,2006,1,0
48113,2000,1,0
13089,2020,0,1
39049,2018,0,1
12086,2004,1,0
37183,2018,0,1
37183,2018,1,0
55079,2012,1,0
24031,2018,1,0
06059,2006,1,0
13121,2012,1,0
17031,2002,1,0
06085,2018,0,1
24033,2018,0,1
2400480,2008,1,0
53033,2005,1,0
39035,1992,1,0
26125,2016,0,1
12011,2020,0,0
12011,1992,0,1
29189,2010,1,0
27053,2010,1,0
CO-002,2020,0,0
06073,2002,0,1
29189,2002,1,0
12071,2020,1,0
26125,1992,1,0
12103,2000,1,0
06073,2002,1,0
06037,2020,0,1
26125,1996,1,0
06073,2002,1,0
TX-53,2016,0,0
0644000,2005,0,0
FL-13,2016,0,0
CO-004,2020,0,0
4260000,1991,1,0
25027,2016,1,0
04013,2012,1,0
12086,2004,1,0
08005,2020,1,0
25017,1996,1,0
1200180,2012,0,1
48439,2018,1,0
48439,2018,1,0
08005,2020,0,1
24033,2018,0,1
