"","fips","state","geo_name","population_2020","mass_ideology_2020","mass_ideology_2020_se","pres_pctD_20","pres_pctD_16","pres_pctD_08","percent_women","percent_white","percent_black","percent_hispanic","percent_asian_american","geo_type"
"804",47003,"Tennessee","Bedford County",50237,0.331897741513944,0.0846288688479412,0.234718450581544,0.226004789334024,0.327315084449621,0.506460697424004,0.726536218325139,0.072476461572148,0.152576786034198,0.00732527818142007,"County"
"805",47009,"Tennessee","Blount County",135280,0.152508128515705,0.051970318038771,0.274605289352384,0.244232283067235,0.300642896917132,0.514758287345971,0.871910112359551,0.0268184506209344,0.0422013601419279,0.00980189237137788,"County"
"806",47011,"Tennessee","Bradley County",108620,0.310377609664327,0.0570629973252866,0.218643879702586,0.191921385525816,0.248262138498275,0.513300362178366,0.808598784754189,0.0482231633216719,0.0778954152089854,0.0122445221874425,"County"
"807",47019,"Tennessee","Carter County",56356,0.304234183405581,0.0639320702854769,0.187823995355203,0.16967225197779,0.260599841410514,0.511349742172133,0.918979345588757,0.0127581801405352,0.0209560650152601,0.00438285187025339,"County"
"808",47031,"Tennessee","Coffee County",57889,0.242348665564943,0.0687211843848152,0.241860267932847,0.247546972860125,0.349916593072319,0.508395370320057,0.846153846153846,0.0365699873896595,0.0562973967420408,0.0113665808702862,"County"
"809",47035,"Tennessee","Cumberland County",61145,0.404685164531064,0.0613320461953139,0.210935540506647,0.203084130392348,0.310740953475014,0.510723453120778,0.920974732193965,0.00510262490800556,0.031662441736855,0.00624744459890424,"County"
"810",47037,"Tennessee","Davidson County",715884,-0.157185444183911,0.0407250625385748,0.66585200769536,0.637768085890307,0.607706531981753,0.518103588717185,0.540359890708551,0.241787775673154,0.137059914734789,0.039423984891407,"County"
"811",47043,"Tennessee","Dickson County",54315,0.279393979813812,0.070808813365538,0.257105562339467,0.262990810359231,0.391283949330136,0.506492027334852,0.86521218816165,0.036122618061309,0.0475375126576452,0.00594679186228482,"County"
"812",47053,"Tennessee","Gibson County",50429,0.198731509314369,0.0645028223198018,0.261960962324103,0.276097458517118,0.353981454927827,0.520130819858617,0.752146582323663,0.17777469313292,0.0285351682563604,0.00442205873604474,"County"
"813",47059,"Tennessee","Greene County",70152,0.403771529841824,0.0627867358276937,0.18934372496176,0.185090877162174,0.295006204801232,0.511084638405439,0.900088379518759,0.0198568821986543,0.0361358193636675,0.0044902497434143,"County"
"814",47063,"Tennessee","Hamblen County",64499,0.317164824907828,0.0637679024681017,0.226235037637284,0.204445113385511,0.305083183556846,0.509496039418699,0.762756011721112,0.0342020806524132,0.147025535279617,0.0159692398331757,"County"
"815",47065,"Tennessee","Hamilton County",366207,0.0691404288808369,0.0443087565026152,0.450609657839609,0.412752554466678,0.365704977283429,0.51732383166306,0.682507434319934,0.175933283634666,0.0739335949340127,0.0228914247952661,"County"
"816",47073,"Tennessee","Hawkins County",56721,0.374438585957667,0.0659232541618505,0.166734727213329,0.174001488464401,0.286667311224983,0.51145537086432,0.931295287459671,0.0120413956030394,0.0156732074540294,0.00491881313799122,"County"
"817",47089,"Tennessee","Jefferson County",54683,0.348434669050017,0.0636270645144784,0.199699635271401,0.191242474001095,0.283415435139573,0.50945434900054,0.895616553590695,0.0146663496882029,0.0437430279977324,0.00535815518534097,"County"
"818",47093,"Tennessee","Knox County",478971,0.0905236051843059,0.0410419911672111,0.421522196599104,0.371380267800013,0.387266278156928,0.513810333460564,0.780402153783841,0.0842639742280848,0.0596445296270547,0.0256403832382336,"County"
"819",47105,"Tennessee","Loudon County",54886,0.323786074762873,0.0705810465961922,0.242420013258435,0.218340805184429,0.27696246513967,0.510622850592281,0.845734795758481,0.010640236125788,0.0975840833728091,0.00856320373137048,"County"
"820",47107,"Tennessee","McMinn County",53276,0.283272868736431,0.060786910483444,0.193315306529545,0.192846546893028,0.299028602266595,0.512977588449287,0.863296794053608,0.0351002327502065,0.040562354531121,0.00848412042946167,"County"
"821",47113,"Tennessee","Madison County",98823,0.12541468977373,0.064787333385501,0.434412869392672,0.41997661963407,0.46458539276765,0.526545454545455,0.53898383979438,0.364328142234095,0.0477823988342795,0.0126994727947947,"County"
"822",47119,"Tennessee","Maury County",100974,0.253537398728338,0.0645941756310234,0.314240878775991,0.29665750509797,0.391591195345769,0.516830477515874,0.754471448095549,0.112395270069523,0.075861112761701,0.00991344306455127,"County"
